Name,Default,Valid
clubb_history,false,".true., .false."
clubb_rad_history,false,".true., .false."
history_aero_optics,.false.,".true., .false."
history_aerosol,.false.,".true., .false."
history_amwg,.true.,".true., .false."
history_budget,.false.,".true., .false."
history_chemistry,.true.,".true., .false."
history_chemspecies_srf,.false.,".true., .false."
history_clubb,.true.,".true., .false."
history_dust,.false.,".true., .false."
history_eddy,.false.,".true., .false."
history_vdiag,.false.,".true., .false."
history_waccm,.true.,".true., .false."
history_waccmx,.true.,".true., .false."
history_aerosol_base,.true.,".true., .false."
history_aerosol_decomposed,.false.,".true., .false."
history_gas,.false.,".true., .false."
history_aerosol_forcing,.false.,".true., .false."
history_aerosol_radiation,.false.,".true., .false."
diag_cnst_conv_tend,q_only,"none, q_only, all"
do_circulation_diags,.false.,".true., .false."
fv_am_diag,.false.,".true., .false."
history_aerosol_debug_output,.false.,".true., .false."
